provincia,carretera,pk_inicio,pk_fin,imd_total,imd_pesado,porcentaje_pesados,tramo
Badajoz,N-5,332.7,334.4,4570.0,261.0,5.71,N-5 (PK 332.7 a 334.4)
Ciudad Real,N-502,310.2,310.7,613.0,40.0,6.53,N-502 (PK 310.2 a 310.7)
Ourense,N-525,117.3,117.9,1787.0,173.0,9.68,N-525 (PK 117.3 a 117.9)
Pontevedra,N-525,302.6,303.3,9982.0,984.0,9.86,N-525 (PK 302.6 a 303.3)
León,N-536,19.1,20.5,1500.0,52.0,3.47,N-536 (PK 19.1 a 20.5)
A Coruña,N-6,566.7,568.3,4302.0,469.0,10.9,N-6 (PK 566.7 a 568.3)
Palencia,N-611,21.3,22.6,932.0,141.0,15.13,N-611 (PK 21.3 a 22.6)
León,N-630,112.7,114.0,5522.0,387.0,7.01,N-630 (PK 112.7 a 114.0)
León,N-630,114.0,115.2,5522.0,387.0,7.01,N-630 (PK 114.0 a 115.2)
León,N-630,159.1,163.9,2857.0,399.0,13.97,N-630 (PK 159.1 a 163.9)
Badajoz,N-630,619.57,620.66,12890.0,1685.0,13.07,N-630 (PK 619.57 a 620.66)
Asturias,N-634,507.4,508.7,7555.0,421.0,5.57,N-634 (PK 507.4 a 508.7)
Sevilla,SE-40,18.6,21.6,29057.0,7639.0,26.29,SE-40 (PK 18.6 a 21.6)
Almería,A-7,662.89,664.2,17889.0,3645.0,20.38,A-7 (PK 662.89 a 664.2)
Soria,A-11,79.3,83.85,4240.0,1671.0,39.41,A-11 (PK 79.3 a 83.85)
Huesca,A-23,361.7,363.7,11056.0,743.0,6.72,A-23 (PK 361.7 a 363.7)
Albacete,A-32,223.0,228148,2371.0,444.0,18.73,A-32 (PK 223.0 a 228.148)
Toledo,A-4,44.5,45.2,70863.0,11917.0,16.82,A-4 (PK 44.5 a 45.2)
Badajoz,A-5,375.5,379.6,22294.0,3431.0,15.39,A-5 (PK 375.5 a 379.6)
Palencia,A-62,75.6,78.1,11023.0,3059.0,27.75,A-62 (PK 75.6 a 78.1)
A Coruña,FE-12,0.8,2.14,20779.0,1278.0,6.15,FE-12 (PK 0.8 a 2.14)
Granada,GR-16,0.8,2.0,1942.0,442.0,22.76,GR-16 (PK 0.8 a 2.0)
Segovia,N-110,226.5,227.3,8042.0,1217.0,15.13,N-110 (PK 226.5 a 227.3)
Ávila,N-110,282.0,283.9,3786.0,287.0,7.58,N-110 (PK 282.0 a 283.9)
Palencia,N-120,195.4,197.0,370.0,61.0,16.49,N-120 (PK 195.4 a 197.0)
León,N-120,302445,302725,11948.0,400.0,3.35,N-120 (PK 302.445 a 302.725)
Soria,N-122,127.6,127.7,3938.0,1168.0,29.66,N-122 (PK 127.6 a 127.7)
Burgos,N-122,294.3,296.51,5275.0,1762.0,33.4,N-122 (PK 294.3 a 296.51)
Teruel,N-232,108.0,109.8,1927.0,268.0,13.91,N-232 (PK 108.0 a 109.8)
Burgos,N-232,473.0,473.4,3678.0,710.0,19.3,N-232 (PK 473.0 a 473.4)
Castellón,N-234,59.3,60.2,2298.0,598.0,26.02,N-234 (PK 59.3 a 60.2)
Toledo,N-301,123.1,124.6,3224.0,1226.0,38.03,N-301 (PK 123.1 a 124.6)
Albacete,N-310,130.5,131.9,2064.0,216.0,10.47,N-310 (PK 130.5 a 131.9)
Cuenca,N-310,156.6,158.5,2348.0,156.0,6.64,N-310 (PK 156.6 a 158.5)
Córdoba,N-331,45.1,46.4,6666.0,469.0,7.04,N-331 (PK 45.1 a 46.4)
Alicante/Alacant,N-340,688.0,688.4,9836.0,1306.0,13.28,N-340 (PK 688.0 a 688.4)
Almería,N-340A,438455,439.35,35049.0,1974.0,5.63,N-340A (PK 438.455 a 439.35)
Almería,N-340A,449.43,452.36,14430.0,1637.0,11.34,N-340A (PK 449.43 a 452.36)
Murcia,N-344,35.1,36.2,2783.0,163.0,5.86,N-344 (PK 35.1 a 36.2)
Toledo,N-401,104.5,104.7,4948.0,866.0,17.5,N-401 (PK 104.5 a 104.7)
Ciudad Real,N-401,170.7,172.1,6668.0,373.0,5.59,N-401 (PK 170.7 a 172.1)
Badajoz,N-432A,41.4,43.0,3268.0,408.0,12.48,N-432A (PK 41.4 a 43.0)
Ourense,N-525,186.6,187.7,535.0,28.0,5.23,N-525 (PK 186.6 a 187.7)
A Coruña,N-525,326.9,327.9,5633.0,446.0,7.92,N-525 (PK 326.9 a 327.9)
Lugo,N-547,25.0,26.3,1043.0,120.0,11.51,N-547 (PK 25.0 a 26.3)
Pontevedra,N-550,84268,84.7,14398.0,1117.0,7.76,N-550 (PK 84.268 a 84.7)
León,N-601,309.0,310.5,4172.0,214.0,5.13,N-601 (PK 309.0 a 310.5)
Palencia,N-620,78.1,80.9,2171.0,436.0,20.08,N-620 (PK 78.1 a 80.9)
Palencia,N-627,72.3,74.4,4445.0,918.0,20.65,N-627 (PK 72.3 a 74.4)
Burgos,N-629,18.9,20.5,2696.0,255.0,9.46,N-629 (PK 18.9 a 20.5)
Asturias,N-630,35.7,36.6,5436.0,448.0,8.24,N-630 (PK 35.7 a 36.6)
Asturias,N-634,379.9,382.2,12216.0,609.0,4.99,N-634 (PK 379.9 a 382.2)
Lugo,N-640,58.5,59.9,4861.0,437.0,8.99,N-640 (PK 58.5 a 59.9)
Almería,A-7,664.2,666.1,17889.0,3645.0,20.38,A-7 (PK 664.2 a 666.1)
Málaga,A-7,1011.25,1012.1,79320.0,3835.0,4.83,A-7 (PK 1011.25 a 1012.1)
Huesca,A-23,372.0,374.4,11056.0,743.0,6.72,A-23 (PK 372.0 a 374.4)
Murcia,A-30,143.0,143.5,90994.0,5346.0,5.88,A-30 (PK 143.0 a 143.5)
Toledo,A-4,61.0,63.4,47308.0,10459.0,22.11,A-4 (PK 61.0 a 63.4)
Ciudad Real,A-43,14.6,15.7,14263.0,1678.0,11.76,A-43 (PK 14.6 a 15.7)
Toledo,A-5,86.3,87.5,35414.0,4557.0,12.87,A-5 (PK 86.3 a 87.5)
Burgos,A-62,38.8,40.71,17067.0,5107.0,29.92,A-62 (PK 38.8 a 40.71)
Cáceres,A-66,445.4,448.3,12137.0,2636.0,21.72,A-66 (PK 445.4 a 448.3)
Asturias,AI-81,1.68,4.0,32267.0,2885.0,8.94,AI-81 (PK 1.68 a 4.0)
Murcia,CT-32,3.1,3.9,37621.0,1340.0,3.56,CT-32 (PK 3.1 a 3.9)
Asturias,GJ-81,1486,2.8,18380.0,3715.0,20.21,GJ-81 (PK 1.486 a 2.8)
León,LE-30,1.0,2.5,24020.0,1968.0,8.19,LE-30 (PK 1.0 a 2.5)
Madrid,M-11,1.25,2.9,105410.0,3044.0,2.89,M-11 (PK 1.25 a 2.9)
Ávila,N-110,260.5,262.1,9172.0,453.0,4.94,N-110 (PK 260.5 a 262.1)
Palencia,N-120,183.8,190.7,513.0,68.0,13.26,N-120 (PK 183.8 a 190.7)
Ourense,N-120A,84.8,85.7,168.0,4.0,2.38,N-120A (PK 84.8 a 85.7)
Zaragoza,N-122,75.2,76.3,5422.0,1446.0,26.67,N-122 (PK 75.2 a 76.3)
Soria,N-122,217.9,218035,2134.0,123.0,5.76,N-122 (PK 217.9 a 218.035)
Zaragoza,N-2,391.2,394.44,1907.0,903.0,47.35,N-2 (PK 391.2 a 394.44)
Albacete,N-301,277209,277.6,214.0,15.0,7.01,N-301 (PK 277.209 a 277.6)
Ciudad Real,N-310,81.2,83.0,5338.0,605.0,11.33,N-310 (PK 81.2 a 83.0)
Albacete,N-322,352.2,354.5,7142.0,1108.0,15.51,N-322 (PK 352.2 a 354.5)
Albacete,N-322,404.9,406.7,1427.0,231.0,16.19,N-322 (PK 404.9 a 406.7)
Jaén,N-323,46.0,48.0,309.0,30.0,9.71,N-323 (PK 46.0 a 48.0)
Alicante/Alacant,N-332,201.4,203.5,14129.0,1066.0,7.54,N-332 (PK 201.4 a 203.5)
Córdoba,N-4,427.5,429.0,3195.0,307.0,9.61,N-4 (PK 427.5 a 429.0)
Badajoz,N-430,140.6,143.8,3715.0,602.0,16.2,N-430 (PK 140.6 a 143.8)
Ciudad Real,N-430,311.85,314.3,8061.0,1522.0,18.88,N-430 (PK 311.85 a 314.3)
Huelva,N-431,130.4,131.5,8834.0,462.0,5.23,N-431 (PK 130.4 a 131.5)
Córdoba,N-432A,221.45,222.3,80.0,6.0,7.5,N-432A (PK 221.45 a 222.3)
Jaén,N-432A,385.4,386.21,2206.0,72.0,3.26,N-432A (PK 385.4 a 386.21)
Huelva,N-435,137.8,138.7,1702.0,296.0,17.39,N-435 (PK 137.8 a 138.7)
Córdoba,N-502,391.0,391.4,4868.0,501.0,10.29,N-502 (PK 391.0 a 391.4)
Badajoz,N-523,48.5,50.6,4349.0,643.0,14.79,N-523 (PK 48.5 a 50.6)
Zamora,N-525,113.2,114.5,270.0,17.0,6.3,N-525 (PK 113.2 a 114.5)
A Coruña,N-525,321.9,323.0,5633.0,446.0,7.92,N-525 (PK 321.9 a 323.0)
Lugo,N-540,21.5,23.1,4742.0,682.0,14.38,N-540 (PK 21.5 a 23.1)
Pontevedra,N-550,86.8,88.2,7122.0,658.0,9.24,N-550 (PK 86.8 a 88.2)
Valladolid,N-601,251.7,251.8,2438.0,701.0,28.75,N-601 (PK 251.7 a 251.8)
León,N-630,197.5,200.5,1721.0,344.0,19.99,N-630 (PK 197.5 a 200.5)
Asturias,N-634,393.2,394.0,14341.0,1036.0,7.22,N-634 (PK 393.2 a 394.0)
Lugo,N-634,567.9,569.1,6234.0,290.0,4.65,N-634 (PK 567.9 a 569.1)
Pontevedra,N-640,186.0,186.8,4133.0,252.0,6.1,N-640 (PK 186.0 a 186.8)
Pontevedra,N-640,197.0,198.0,4133.0,252.0,6.1,N-640 (PK 197.0 a 198.0)
Segovia,SG-20,3.1,5.4,19205.0,1429.0,7.44,SG-20 (PK 3.1 a 5.4)
Burgos,A-1,201.0,202.3,23627.0,4704.0,19.91,A-1 (PK 201.0 a 202.3)
La Rioja,A-13,0.0,2.5,35085.0,2046.0,5.83,A-13 (PK 0.0 a 2.5)
Zaragoza,A-2,200.0,203.0,16439.0,5774.0,35.12,A-2 (PK 200.0 a 203.0)
Jaén,A-4,268.6,270.1,29563.0,8898.0,30.1,A-4 (PK 268.6 a 270.1)
Sevilla,A-4,534.9,536.7,73531.0,2375.0,3.23,A-4 (PK 534.9 a 536.7)
Toledo,A-5,75.4,78.3,40889.0,5328.0,13.03,A-5 (PK 75.4 a 78.3)
Pontevedra,A-55,28.9,30.2,34915.0,3363.0,9.63,A-55 (PK 28.9 a 30.2)
Cáceres,A-66,442.0,445.4,12137.0,2636.0,21.72,A-66 (PK 442.0 a 445.4)
Cáceres,A-66,494.4,498.3,12766.0,2615.0,20.48,A-66 (PK 494.4 a 498.3)
Madrid,M-40,26.2,27.5,123912.0,5233.0,4.22,M-40 (PK 26.2 a 27.5)
Ávila,N-110,335.8,336.2,2316.0,176.0,7.6,N-110 (PK 335.8 a 336.2)
Ourense,N-120,568.75,569.3,12904.0,1425.0,11.04,N-120 (PK 568.75 a 569.3)
Segovia,N-1A,102.6,104277,2758.0,199.0,7.22,N-1A (PK 102.6 a 104.277)
Burgos,N-1A,289.0,290.1,270.0,58.0,21.48,N-1A (PK 289.0 a 290.1)
Ciudad Real,N-310,104.3,105.3,81.0,9.0,11.11,N-310 (PK 104.3 a 105.3)
Granada,N-323A,143.3,145.0,2814.0,169.0,6.01,N-323A (PK 143.3 a 145.0)
Huesca,N-330,625.6,626.7,9863.0,855.0,8.67,N-330 (PK 625.6 a 626.7)
Alicante/Alacant,N-332,160375,160.8,19084.0,912.0,4.78,N-332 (PK 160.375 a 160.8)
Málaga,N-340A,262.7,263.5,10410.0,617.0,5.93,N-340A (PK 262.7 a 263.5)
Almería,N-340A,383.82,384.5,5268.0,466.0,8.85,N-340A (PK 383.82 a 384.5)
Sevilla,N-4,578.3,579.3,4245.0,567.0,13.36,N-4 (PK 578.3 a 579.3)
Toledo,N-401,88.0,90.4,9505.0,1251.0,13.16,N-401 (PK 88.0 a 90.4)
Ciudad Real,N-420,147.7,148.9,5173.0,232.0,4.48,N-420 (PK 147.7 a 148.9)
Ciudad Real,N-420,164.3,165.2,595.0,25.0,4.2,N-420 (PK 164.3 a 165.2)
Badajoz,N-430,0.0,1.2,6934.0,336.0,4.85,N-430 (PK 0.0 a 1.2)
Albacete,N-430,429.4,431.8,421.0,68.0,16.15,N-430 (PK 429.4 a 431.8)
Badajoz,N-430A,166842,168356,17.0,2.0,11.76,N-430A (PK 166.842 a 168.356)
Toledo,N-502A,117.12,118.4,8065.0,1117.0,13.85,N-502A (PK 117.12 a 118.4)
Ourense,N-525,195.1,197.4,7740.0,216.0,2.79,N-525 (PK 195.1 a 197.4)
A Coruña,N-550,67075,68.62,22103.0,746.0,3.38,N-550 (PK 67.075 a 68.62)
Pontevedra,N-552,4.6,5.5,9929.0,393.0,3.96,N-552 (PK 4.6 a 5.5)
A Coruña,N-6,568.9,570.3,4302.0,469.0,10.9,N-6 (PK 568.9 a 570.3)
Palencia,N-611,56.5,57.3,1244.0,145.0,11.66,N-611 (PK 56.5 a 57.3)
Burgos,N-620A,24.25,25.64,178.0,27.0,15.17,N-620A (PK 24.25 a 25.64)
Huelva,N-630,738.4,739.1,363.0,20.0,5.51,N-630 (PK 738.4 a 739.1)
Lugo,N-640,15.1,16.6,2537.0,451.0,17.78,N-640 (PK 15.1 a 16.6)
Lugo,N-642,37.7,39.3,9887.0,575.0,5.82,N-642 (PK 37.7 a 39.3)
Toledo,TO-20,0.0,653,56762.0,3086.0,5.44,TO-20 (PK 0.0 a 0.653)
Pontevedra,VG-20,0.0,2.08,15695.0,992.0,6.32,VG-20 (PK 0.0 a 2.08)
Zaragoza,Z-40,27.6,30.2,45605.0,3127.0,6.86,Z-40 (PK 27.6 a 30.2)
Burgos,A-1,199.2,201.0,23627.0,4704.0,19.91,A-1 (PK 199.2 a 201.0)
Burgos,A-1,209.3,213.0,23362.0,4217.0,18.05,A-1 (PK 209.3 a 213.0)
Madrid,A-3,20.4,22.3,86749.0,7326.0,8.45,A-3 (PK 20.4 a 22.3)
Valencia,A-3,336.1,338.2,72645.0,11544.0,15.89,A-3 (PK 336.1 a 338.2)
Alicante/Alacant,A-31,235.2,237.0,44793.0,3090.0,6.9,A-31 (PK 235.2 a 237.0)
Ciudad Real,A-4A,213.6,214.6,2836.0,146.0,5.15,A-4A (PK 213.6 a 214.6)
Toledo,A-5,151.6,154.1,17490.0,3325.0,19.01,A-5 (PK 151.6 a 154.1)
Badajoz,A-5,372.8,375.5,16269.0,2351.0,14.45,A-5 (PK 372.8 a 375.5)
Madrid,A-6,10.7,11.2,132215.0,5494.0,4.16,A-6 (PK 10.7 a 11.2)
León,A-6,302.4,305.8,9102.0,2078.0,22.83,A-6 (PK 302.4 a 305.8)
Palencia,A-62,54.8,57.8,17799.0,5491.0,30.85,A-62 (PK 54.8 a 57.8)
Palencia,A-65,7.8,10.0,3850.0,1075.0,27.92,A-65 (PK 7.8 a 10.0)
León,A-66,148.7,151.7,13281.0,2315.0,17.43,A-66 (PK 148.7 a 151.7)
A Coruña,AC-11,0.0,1.0,117984.0,2303.0,1.95,AC-11 (PK 0.0 a 1.0)
A Coruña,AC-14AL,2.0,2843,11119.0,321.0,2.89,AC-14AL (PK 2.0 a 2.843)
Cádiz,CA-35,0.0,2.0,39612.0,2529.0,6.38,CA-35 (PK 0.0 a 2.0)
Segovia,N-110,206.2,208.4,2795.0,332.0,11.88,N-110 (PK 206.2 a 208.4)
Ávila,N-110,249.1,249.95,4221.0,639.0,15.14,N-110 (PK 249.1 a 249.95)
Ávila,N-110,280.0,282.0,3786.0,287.0,7.58,N-110 (PK 280.0 a 282.0)
León,N-120,314.0,316.3,16337.0,2397.0,14.67,N-120 (PK 314.0 a 316.3)
Burgos,N-1A,155.25,157.25,3481.0,762.0,21.89,N-1A (PK 155.25 a 157.25)
Teruel,N-211,119.9,121.9,1026.0,164.0,15.98,N-211 (PK 119.9 a 121.9)
Teruel,N-211,164.7,167.4,1943.0,205.0,10.55,N-211 (PK 164.7 a 167.4)
La Rioja,N-232,393.8,395.1,10536.0,1021.0,9.69,N-232 (PK 393.8 a 395.1)
La Rioja,N-232,420.3,420.7,9938.0,605.0,6.09,N-232 (PK 420.3 a 420.7)
Burgos,N-234,427.0,429.1,2345.0,335.0,14.29,N-234 (PK 427.0 a 429.1)
Huesca,N-260,405.3,407.0,2339.0,114.0,4.87,N-260 (PK 405.3 a 407.0)
Madrid,N-320,325.4,327.1,3394.0,257.0,7.57,N-320 (PK 325.4 a 327.1)
Granada,N-323A,82.6,84.0,1336.0,131.0,9.81,N-323A (PK 82.6 a 84.0)
Castellón,N-340A,1057.3,1058.27,7670.0,177.0,2.31,N-340A (PK 1057.3 a 1058.27)
Toledo,N-401,112.5,114.2,1545.0,270.0,17.48,N-401 (PK 112.5 a 114.2)
Ciudad Real,N-420A,160.97,162.58,2318.0,118.0,5.09,N-420A (PK 160.97 a 162.58)
Ciudad Real,N-430A,298.1,299.2,188.0,43.0,22.87,N-430A (PK 298.1 a 299.2)
Badajoz,N-432,127.5,130.2,3715.0,581.0,15.64,N-432 (PK 127.5 a 130.2)
Córdoba,N-432,169.2,171.7,2709.0,423.0,15.61,N-432 (PK 169.2 a 171.7)
Córdoba,N-432,312.3,313.6,3783.0,505.0,13.35,N-432 (PK 312.3 a 313.6)
Badajoz,N-5,343.23,345.3,4399.0,314.0,7.14,N-5 (PK 343.23 a 345.3)
Ourense,N-525,193.3,195.1,535.0,28.0,5.23,N-525 (PK 193.3 a 195.1)
Lugo,N-540,11.6,13.2,4795.0,622.0,12.97,N-540 (PK 11.6 a 13.2)
Lugo,N-540,49.4,51.0,4330.0,425.0,9.82,N-540 (PK 49.4 a 51.0)
A Coruña,N-547,63.6,64.4,6614.0,760.0,11.49,N-547 (PK 63.6 a 64.4)
Pontevedra,N-556,6.97,8.0,10689.0,1239.0,11.59,N-556 (PK 6.97 a 8.0)
León,N-6,346.5,347.9,390.0,33.0,8.46,N-6 (PK 346.5 a 347.9)
León,N-6,389.0,390.4,8434.0,354.0,4.2,N-6 (PK 389.0 a 390.4)
León,N-6,422.8,423.4,2559.0,107.0,4.18,N-6 (PK 422.8 a 423.4)
Segovia,N-603,88.7,91.5,7727.0,574.0,7.43,N-603 (PK 88.7 a 91.5)
Cáceres,N-630,478.2,479.17,4496.0,424.0,9.43,N-630 (PK 478.2 a 479.17)
Cáceres,N-630,503.2,505.1,382.0,29.0,7.59,N-630 (PK 503.2 a 505.1)
Asturias,N-632,42.0,42.8,748.0,119.0,15.91,N-632 (PK 42.0 a 42.8)
Lugo,N-634,564.2,565.95,6234.0,290.0,4.65,N-634 (PK 564.2 a 565.95)
Lugo,N-640,91.1,92.12,13186.0,415.0,3.15,N-640 (PK 91.1 a 92.12)
Pontevedra,N-640,214.6,216.3,5717.0,450.0,7.87,N-640 (PK 214.6 a 216.3)
Toledo,TO-21,4.0,5.75,14743.0,953.0,6.46,TO-21 (PK 4.0 a 5.75)
Burgos,A-1,157.2,158.5,20151.0,4400.0,21.84,A-1 (PK 157.2 a 158.5)
Burgos,A-1,232.4,235.0,43203.0,5612.0,12.99,A-1 (PK 232.4 a 235.0)
Jaén,A-32,35.7,39.0,6575.0,541.0,8.23,A-32 (PK 35.7 a 39.0)
Cádiz,A-4,654.9,657.9,31163.0,1513.0,4.86,A-4 (PK 654.9 a 657.9)
Cuenca,A-43,143.3,145.7,7316.0,2928.0,40.02,A-43 (PK 143.3 a 145.7)
Madrid,A-5,10.0,11.5,94961.0,4776.0,5.03,A-5 (PK 10.0 a 11.5)
Pontevedra,A-55,22.8,24.1,44997.0,5903.0,13.12,A-55 (PK 22.8 a 24.1)
Salamanca,A-62,308.5,311.3,7197.0,2964.0,41.18,A-62 (PK 308.5 a 311.3)
Palencia,A-67,0.0,0.8,21033.0,2111.0,10.04,A-67 (PK 0.0 a 0.8)
Palencia,A-67,50.6,54.8,6723.0,790.0,11.75,A-67 (PK 50.6 a 54.8)
Zaragoza,A-68,272.2,276.3,19642.0,8258.0,42.04,A-68 (PK 272.2 a 276.3)
Ávila,AV-20,3.0,6.0,15314.0,1523.0,9.95,AV-20 (PK 3.0 a 6.0)
Burgos,BU-30,20.2,23.4,18954.0,4340.0,22.9,BU-30 (PK 20.2 a 23.4)
Castellón,CS-22,10.22,11.34,18139.0,2681.0,14.78,CS-22 (PK 10.22 a 11.34)
Granada,GR-30,0.8,1649,49748.0,1924.0,3.87,GR-30 (PK 0.8 a 1.649)
Málaga,MA-24,0.9,1534,10467.0,343.0,3.28,MA-24 (PK 0.9 a 1.534)
La Rioja,N-111,322.3,322818,18801.0,1004.0,5.34,N-111 (PK 322.3 a 322.818)
La Rioja,N-111,322818,324112,24722.0,1119.0,4.53,N-111 (PK 322.818 a 324.112)
Burgos,N-120,163.4,164.2,1629.0,188.0,11.54,N-120 (PK 163.4 a 164.2)
León,N-120,240.4,242.4,192.0,19.0,9.9,N-120 (PK 240.4 a 242.4)
Zaragoza,N-122,50.0,52.0,8147.0,2471.0,30.33,N-122 (PK 50.0 a 52.0)
Girona,N-260,40.3,41.7,10904.0,290.0,2.66,N-260 (PK 40.3 a 41.7)
Zaragoza,N-2R,211.14,212.0,474.0,33.0,6.96,N-2R (PK 211.14 a 212.0)
Albacete,N-301,203.02,207.3,2818.0,1022.0,36.27,N-301 (PK 203.02 a 207.3)
Murcia,N-301,359.3,360.27,842.0,118.0,14.01,N-301 (PK 359.3 a 360.27)
Albacete,N-322,275.4,276.6,2296.0,295.0,12.85,N-322 (PK 275.4 a 276.6)
Jaén,N-323,48.0,49.5,309.0,30.0,9.71,N-323 (PK 48.0 a 49.5)
Cuenca,N-330,215.58,217.7,1495.0,194.0,12.98,N-330 (PK 215.58 a 217.7)
Alicante/Alacant,N-332,71.7,72.2,31564.0,1105.0,3.5,N-332 (PK 71.7 a 72.2)
Almería,N-340A,478.7,480.4,4083.0,1123.0,27.5,N-340A (PK 478.7 a 480.4)
Badajoz,N-432,19.5,22.8,4716.0,525.0,11.13,N-432 (PK 19.5 a 22.8)
Granada,N-432,428.3,429.8,15303.0,844.0,5.52,N-432 (PK 428.3 a 429.8)
Córdoba,N-432A,333.6,334.1,1640.0,146.0,8.9,N-432A (PK 333.6 a 334.1)
León,N-6,317.3,320.0,1843.0,188.0,10.2,N-6 (PK 317.3 a 320.0)
Cáceres,N-630,470.6,474.5,4929.0,464.0,9.41,N-630 (PK 470.6 a 474.5)
Cáceres,N-630,474.5,475768,10011.0,663.0,6.62,N-630 (PK 474.5 a 475.768)
Badajoz,N-630,666.2,670.0,4581.0,335.0,7.31,N-630 (PK 666.2 a 670.0)
Lugo,N-634,605.95,607.7,2669.0,171.0,6.41,N-634 (PK 605.95 a 607.7)
Lugo,N-640,55.0,56.5,1416.0,147.0,10.38,N-640 (PK 55.0 a 56.5)
Asturias,N-643,0.8,1.4,1263.0,115.0,9.11,N-643 (PK 0.8 a 1.4)
A Coruña,N-651,21.1,22.0,14710.0,626.0,4.26,N-651 (PK 21.1 a 22.0)
Madrid,A-1,44.1,46.3,41405.0,4422.0,10.68,A-1 (PK 44.1 a 46.3)
La Rioja,A-12,119.9,124.8,7601.0,1346.0,17.71,A-12 (PK 119.9 a 124.8)
Teruel,A-23,89.3,92.2,14082.0,3865.0,27.45,A-23 (PK 89.3 a 92.2)
Zaragoza,A-23,274.0,276.3,23556.0,2990.0,12.69,A-23 (PK 274.0 a 276.3)
Toledo,A-4,115.1,117.3,28470.0,6848.0,24.05,A-4 (PK 115.1 a 117.3)
Cádiz,A-4,628.5,631.2,10441.0,1032.0,9.88,A-4 (PK 628.5 a 631.2)
Cuenca,A-43,147.0,148.7,7316.0,2928.0,40.02,A-43 (PK 147.0 a 148.7)
Cáceres,A-5,181.4,183.6,17045.0,3215.0,18.86,A-5 (PK 181.4 a 183.6)
Badajoz,A-5,330.4,333.4,21373.0,4481.0,20.97,A-5 (PK 330.4 a 333.4)
Madrid,A-6,36.9,39.56,104900.0,16025.0,15.28,A-6 (PK 36.9 a 39.56)
Segovia,A-6,124.24,126.86,21822.0,4068.0,18.64,A-6 (PK 124.24 a 126.86)
León,A-66,193.6,196.3,9189.0,1746.0,19.0,A-66 (PK 193.6 a 196.3)
Badajoz,A-66,715.0,718.8,15862.0,3772.0,23.78,A-66 (PK 715.0 a 718.8)
Zaragoza,A-68,246.18,247.4,40190.0,8105.0,20.17,A-68 (PK 246.18 a 247.4)
Ourense,A-75,10.0,12722,4280.0,908.0,21.21,A-75 (PK 10.0 a 12.722)
Murcia,CT-31,0.0,1.0,9698.0,2061.0,21.25,CT-31 (PK 0.0 a 1.0)
Murcia,MU-30,0.0,1.6,34402.0,3990.0,11.6,MU-30 (PK 0.0 a 1.6)
Burgos,N-1,176.3,176.9,114.0,25.0,21.93,N-1 (PK 176.3 a 176.9)
Burgos,N-1,309.9,312.2,3165.0,745.0,23.54,N-1 (PK 309.9 a 312.2)
Burgos,N-1,331.22,332.2,632.0,203.0,32.12,N-1 (PK 331.22 a 332.2)
Segovia,N-110,95.6,99.0,1104.0,212.0,19.2,N-110 (PK 95.6 a 99.0)
Segovia,N-110,103.7,107.4,2419.0,205.0,8.47,N-110 (PK 103.7 a 107.4)
Soria,N-111,152.3,153.3,866.0,66.0,7.62,N-111 (PK 152.3 a 153.3)
Burgos,N-120,147.2,150.5,1100.0,95.0,8.64,N-120 (PK 147.2 a 150.5)
León,N-120,335.3,338.2,6617.0,971.0,14.67,N-120 (PK 335.3 a 338.2)
Huesca,N-123,5.9,8.0,8487.0,637.0,7.51,N-123 (PK 5.9 a 8.0)
Zaragoza,N-125,8.8,10.08,10143.0,791.0,7.8,N-125 (PK 8.8 a 10.08)
Huesca,N-211,328.2,330.18,10309.0,1018.0,9.87,N-211 (PK 328.2 a 330.18)
La Rioja,N-232,390.8,393.8,10536.0,1021.0,9.69,N-232 (PK 390.8 a 393.8)
Burgos,N-234A,449.35,450.8,306.0,43.0,14.05,N-234A (PK 449.35 a 450.8)
Huesca,N-240A,205275,206.6,7667.0,758.0,9.89,N-240A (PK 205.275 a 206.6)
Huesca,N-260,424.1,426.2,1882.0,92.0,4.89,N-260 (PK 424.1 a 426.2)
Cuenca,N-3,199.4,200.2,2519.0,947.0,37.59,N-3 (PK 199.4 a 200.2)
Albacete,N-310,131.9,133.4,2064.0,216.0,10.47,N-310 (PK 131.9 a 133.4)
Zaragoza,N-330,417.34,418.4,333.0,125.0,37.54,N-330 (PK 417.34 a 418.4)
Tarragona,N-420,887566,887.73,21004.0,1008.0,4.8,N-420 (PK 887.566 a 887.73)
Valencia,N-420A,526.3,527.0,33.0,5.0,15.15,N-420A (PK 526.3 a 527.0)
Albacete,N-430,427.1,429.4,505.0,75.0,14.85,N-430 (PK 427.1 a 429.4)
Huelva,N-433,83.3,84.0,6560.0,455.0,6.94,N-433 (PK 83.3 a 84.0)
Pontevedra,N-550,108.0,109.5,8765.0,519.0,5.92,N-550 (PK 108.0 a 109.5)
Madrid,N-6,43.8,45.7,14155.0,517.0,3.65,N-6 (PK 43.8 a 45.7)
León,N-6,290.0,291.6,885.0,65.0,7.34,N-6 (PK 290.0 a 291.6)
Ávila,N-601,108.5,111.55,1835.0,736.0,40.11,N-601 (PK 108.5 a 111.55)
León,N-601,288.2,292.0,2478.0,426.0,17.19,N-601 (PK 288.2 a 292.0)
Cáceres,N-630,508.2,509.7,382.0,29.0,7.59,N-630 (PK 508.2 a 509.7)
Palencia,P-12,3.4,5.24,8590.0,299.0,3.48,P-12 (PK 3.4 a 5.24)
Soria,SO-20,11.7,14.12,13039.0,2060.0,15.8,SO-20 (PK 11.7 a 14.12)
